;Address;Bal;B;Balance;Label
91;DTJgZkCy5dzMUdj211VtSsoJkXUJPzNdDG;106,328,381 DOGE ($6,539,020);106,328,381;106328381;
92;DN4VDmvdusJtL66evr1oXgmvHi37cCJDWh;105,252,554 DOGE ($6,472,858);105,252,554;105252554;
93;DFHMxqTjbtKKfJ2uAhNMFrw1SkeWhS3meS;104,719,244 DOGE ($6,440,061);104,719,244;104719244;
94;D5LLkAy7aLfr4Fx8D3EuidfrziqqkjTxNq;104,151,596 DOGE ($6,405,151) -2287622 DOGE / +28301677 DOGE;104,151,596;104151596;
;wallet: 3349133;;;;
95;DG4pSs8UzxN1cMnfmMbfJzqtPzubPEojZH;104,141,737 DOGE ($6,404,545);104,141,737;104141737;
96;DN6KNHT6BvuKNke3S9yP1M3h6TCgKCXj3m;104,141,737 DOGE ($6,404,545);104,141,737;104141737;
97;D7fXyKdKEDhf7iDT3sSdr7Dm6W1hy4QLW3;104,141,737 DOGE ($6,404,545);104,141,737;104141737;
98;D8hi4d1sGLz4UckRxPybJ1A61ifs8RsF1j;104,141,737 DOGE ($6,404,545);104,141,737;104141737;
99;DHg7AcJLmRJUeiJcsSJdpoaGRm6DsittZR;104,141,737 DOGE ($6,404,545);104,141,737;104141737;
100;DEBmRVBhnvh36axYboCnT8C7fac5hJf5XE;104,141,737 DOGE ($6,404,545);104,141,737;104141737;
