Rank;Address;Name Tag;BAL;B;Balance;Label
64;0xdc24316b9ae028f1497c275eb9192a3ea0f67022;Lido: Curve Liquidity Farming Pool Contract;154,810.50538213 Ether;154,810.50538213 ;154810.50538213 ;
65;0xfd898a0f677e97a9031654fc79a27cb5e31da34a;;150,000.1 Ether;150,000.1 ;150000.1 ;
66;0xb8cda067fabedd1bb6c11c626862d7255a2414fe;;150,000.0012345 Ether;150,000.0012345 ;150000.0012345 ;
67;0x701c484bfb40ac628afa487b6082f084b14af0bd;;150,000.001069 Ether;150,000.001069 ;150000.001069 ;
68;0x4b4a011c420b91260a272afd91e54accdafdfc1d;;150,000.001 Ether;150,000.001 ;150000.001 ;
69;0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69;;150,000.0006789 Ether;150,000.0006789 ;150000.0006789 ;
70;0xd05e6bf1a00b5b4c9df909309f19e29af792422b;;150,000.000051 Ether;150,000.000051 ;150000.000051 ;
71;0x19d599012788b991ff542f31208bab21ea38403e;;150,000.000015 Ether;150,000.000015 ;150000.000015 ;
72;0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9;;150,000 Ether;150,000 ;150000 ;
73;0xb20411c403687d1036e05c8a7310a0f218429503;;150,000 Ether;150,000 ;150000 ;
74;0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f;;150,000 Ether;150,000 ;150000 ;
75;0xb9fa6e54025b4f0829d8e1b42e8b846914659632;;150,000 Ether;150,000 ;150000 ;
76;0xba18ded5e0d604a86428282964ae0bb249ceb9d0;;150,000 Ether;150,000 ;150000 ;
77;0xfe01a216234f79cfc3bea7513e457c6a9e50250d;;150,000 Ether;150,000 ;150000 ;
78;0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d;;150,000 Ether;150,000 ;150000 ;
79;0xe04cf52e9fafa3d9bf14c407afff94165ef835f7;;150,000 Ether;150,000 ;150000 ;
80;0x77afe94859163abf0b90725d69e904ea91446c7b;;150,000 Ether;150,000 ;150000 ;
81;0xca582d9655a50e6512045740deb0de3a7ee5281f;;150,000 Ether;150,000 ;150000 ;
82;0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935;;150,000 Ether;150,000 ;150000 ;
83;0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6;;150,000 Ether;150,000 ;150000 ;
84;0x7ae92148e79d60a0749fd6de374c8e81dfddf792;;150,000 Ether;150,000 ;150000 ;
85;0x091933ee1088cdf5daace8baec0997a4e93f0dd6;;150,000 Ether;150,000 ;150000 ;
86;0x828103b231b39fffce028562412b3c04a4640e64;;150,000 Ether;150,000 ;150000 ;
87;0x19184ab45c40c2920b0e0e31413b9434abd243ed;;148,556.95876725 Ether;148,556.95876725 ;148556.95876725 ;
88;0x4baf012726cb5ec7dda57bc2770798a38100c44d;;145,000.09839497 Ether;145,000.09839497 ;145000.09839497 ;
89;0xd6216fc19db775df9774a6e33526131da7d19a2c;KuCoin 6;138,806.65006624 Ether;138,806.65006624 ;138806.65006624 ;Exchange
90;0x3262f13a39efaca789ae58390441c9ed76bc658a;;138,498.04165199 Ether;138,498.04165199 ;138498.04165199 ;
91;0x8fd589aa8bfa402156a6d1ad323fec0ecee50d9d;;136,526.82411929 Ether;136,526.82411929 ;136526.82411929 ;
92;0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6;;135,283.676786 Ether;135,283.676786 ;135283.676786 ;
93;0x8d95842b0bca501446683be598e12f1c616770c1;;130,000 Ether;130,000 ;130000 ;
94;0x35aeed3aa9657abf8b847038bb591b51e1e4c69f;;129,793.40309661 Ether;129,793.40309661 ;129793.40309661 ;
95;0xb93d8596ac840816bd366dc0561e8140afd0d1cb;;128,576.12063659 Ether;128,576.12063659 ;128576.12063659 ;
96;0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c;Bitfinex 4;123,587.69025187 Ether;123,587.69025187 ;123587.69025187 ;Exchange
97;0xcafea35ce5a2fc4ced4464da4349f81a122fd12b;;122,210.37215823 Ether;122,210.37215823 ;122210.37215823 ;
98;0x595faf77e533a5cd30ab5859c9a0116de8bad8db;;120,000 Ether;120,000 ;120000 ;
99;0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce;;120,000 Ether;120,000 ;120000 ;
100;0xd5268a476aadd1a6729df5b3e5e8f2c1004139af;;120,000 Ether;120,000 ;120000 ;
