,Address,Ins,Outs,Balance,Label,In_amount,Out_amount,Total,First_in,Last_in,First_out,Last_out,Address_length,Percentage,Diff,Percentage_ins,Percentage_outs,Percentage_diff,Interval_in,Interval_out,Interval_diff,Interval_first,Interval_in_days,Interval_out_days,Interval_first_days,Avg_acc_in,Avg_acc_out,Diff_avg_acc,Last_transaction,Interval_from_last_tx,Interval_from_last_tx_days,Last_future,genesis,First in,genesis_to_first_in,genesis_to_first_in_days
21,DTxYRT58AY4rQ5E18PfGzSKaQt6aNjsAxD,2.0,0.0,800000001.0,,800000001.0,0.0,2.0,2022-06-27 19:27:00,2022-06-27 20:01:00,,,34,0.6029999253787593,2.0,100.0,0.0,100.0,0 days 00:34:00.000000000,,,,0.0,,,inf,,,2022-06-27 20:01:00,14 days 20:59:00.000000000,14.0,False,2013-12-06 00:00:00,2022-06-27 19:27:00,3125 days 19:27:00.000000000,3125.0
22,D9FV7Ka27RVzS9NPBx3H57TUVi1hb4QS64,6.0,0.0,753279806.0,,753279806.4896266,0.0,6.0,2022-02-17 22:42:00,2022-03-10 02:55:00,,,34,0.5677845827994271,6.0,100.0,0.0,100.0,20 days 04:13:00.000000000,,,,20.0,,,37663990.32448133,,,2022-03-10 02:55:00,124 days 14:05:00.000000000,124.0,False,2013-12-06 00:00:00,2022-02-17 22:42:00,2995 days 22:42:00.000000000,2995.0
23,D6LKpBFJaf6moGenC39eXEjzAqLzYiTfdz,36.0,9.0,712965174.0,,1162965174.0673892,450000000.0,45.0,2020-12-25 12:40:00,2021-12-29 05:24:00,2021-01-28 22:27:00,2021-01-28 22:27:00,34,0.5373974327278209,27.0,80.0,20.0,60.0,368 days 16:44:00.000000000,0 days 00:00:00.000000000,368 days 16:44:00.000000000,34 days 09:47:00.000000000,368.0,0.0,34.0,3160231.4512700797,inf,-inf,2021-12-29 05:24:00,195 days 11:36:00.000000000,195.0,False,2013-12-06 00:00:00,2020-12-25 12:40:00,2576 days 12:40:00.000000000,2576.0
24,DGogsHSEVxeX5TVDuiJsvwK4af1WSaHgvQ,1.0,0.0,608487914.0,,608487913.9584299,0.0,1.0,2022-06-27 17:51:00,2022-06-27 17:51:00,,,34,0.4586477078465366,1.0,100.0,0.0,100.0,0 days 00:00:00.000000000,,,,0.0,,,inf,,,2022-06-27 17:51:00,14 days 23:09:00.000000000,14.0,False,2013-12-06 00:00:00,2022-06-27 17:51:00,3125 days 17:51:00.000000000,3125.0
25,D6xiMfjQNdcGe9aVXCCUk2PyzWCxfnZww9,1.0,0.0,560144357.0,,560144356.9977355,0.0,1.0,2022-06-25 01:55:00,2022-06-25 01:55:00,,,34,0.4222087563126554,1.0,100.0,0.0,100.0,0 days 00:00:00.000000000,,,,0.0,,,inf,,,2022-06-25 01:55:00,17 days 15:05:00.000000000,17.0,False,2013-12-06 00:00:00,2022-06-25 01:55:00,3123 days 01:55:00.000000000,3123.0
26,D61T1GVeMZM8UHvXKyyD55Ur9efAF2mb5f,8783.0,8141.0,519910032.0,Exchange,3393161001.654619,2873250970.153255,16924.0,2021-02-09 06:47:00,2022-05-23 15:10:00,2021-03-07 01:46:00,2022-04-26 12:24:00,34,0.3918821376347328,642.0,51.89671472465138,48.10328527534862,3.7934294493027654,468 days 08:23:00.000000000,415 days 10:38:00.000000000,52 days 21:45:00.000000000,25 days 18:59:00.000000000,468.0,415.0,25.0,7250344.020629528,6923496.313622301,326847.70700722653,2022-05-23 15:10:00,50 days 01:50:00.000000000,50.0,False,2013-12-06 00:00:00,2021-02-09 06:47:00,2622 days 06:47:00.000000000,2622.0
27,DJtqonMkvsVr8rVr4Pdf5zYfZrnaLSdnwi,2500.0,1015.0,504716187.0,,14370273331.826862,13865557145.189558,3515.0,2018-08-30 14:01:00,2022-05-12 06:19:00,2018-09-07 10:27:00,2021-05-10 16:41:00,34,0.3804297783975277,1485.0,71.12375533428164,28.87624466571835,42.2475106685633,1350 days 16:18:00.000000000,976 days 06:14:00.000000000,374 days 10:04:00.000000000,7 days 20:26:00.000000000,1350.0,976.0,7.0,10644646.912464343,14206513.468431924,-3561866.5559675805,2022-05-12 06:19:00,61 days 10:41:00.000000000,61.0,False,2013-12-06 00:00:00,2018-08-30 14:01:00,1728 days 14:01:00.000000000,1728.0
28,DBpNLLEj13LWr14wm1YH24nuqAjodrjaLL,97.0,26.0,490279746.0,,750279717.1371872,259999971.4,123.0,2014-01-27 12:42:00,2021-12-29 05:25:00,2018-04-09 15:24:00,2021-07-21 00:50:00,34,0.36954831235396096,71.0,78.86178861788618,21.138211382113823,57.72357723577236,2892 days 16:43:00.000000000,1198 days 09:26:00.000000000,1694 days 07:17:00.000000000,1533 days 02:42:00.000000000,2892.0,1198.0,1533.0,259432.8205868559,217028.35676126878,42404.463825587125,2021-12-29 05:25:00,195 days 11:35:00.000000000,195.0,False,2013-12-06 00:00:00,2014-01-27 12:42:00,52 days 12:42:00.000000000,52.0
29,DEAWXsx1Ge925D7gn2wC3scwDXLf2svd7T,102.0,97.0,484239906.0,,2094789629.4031575,1610549723.4224467,199.0,2021-06-22 15:11:00,2022-07-11 19:58:00,2021-10-09 14:58:00,2022-07-11 19:58:00,34,0.36499578352302703,5.0,51.256281407035175,48.743718592964825,2.512562814070352,384 days 04:47:00.000000000,275 days 05:00:00.000000000,108 days 23:47:00.000000000,108 days 23:47:00.000000000,384.0,275.0,108.0,5455181.326570722,5856544.448808897,-401363.122238175,2022-07-11 19:58:00,0 days 21:02:00.000000000,0.0,False,2013-12-06 00:00:00,2021-06-22 15:11:00,2755 days 15:11:00.000000000,2755.0
30,D5BqFPG9Fw4BL5vrnoWxddeH12W3RXMYZh,53.0,14.0,481369668.0,,5.04121222,0.0,67.0,2021-05-10 21:07:00,2022-07-05 15:00:00,2021-05-11 00:38:00,2021-12-06 22:14:00,34,0.36283234190095726,39.0,79.1044776119403,20.8955223880597,58.2089552238806,420 days 17:53:00.000000000,209 days 21:36:00.000000000,210 days 20:17:00.000000000,0 days 03:31:00.000000000,420.0,209.0,0.0,0.012002886238095239,0.0,0.012002886238095239,2022-07-05 15:00:00,7 days 02:00:00.000000000,7.0,False,2013-12-06 00:00:00,2021-05-10 21:07:00,2712 days 21:07:00.000000000,2712.0
