,Address,Total,Balance,Label,Outs,Ins,In_amount,Out_amount,First_in,Last_in,First_out,Last_out,Address_length,Percentage,Diff,Percentage_ins,Percentage_outs,Percentage_diff,Interval_in,Interval_out,Interval_diff,Interval_first,Interval_in_days,Interval_out_days,Interval_first_days,Avg_acc_in,Avg_acc_out,Diff_avg_acc,Last_transaction,Interval_from_last_tx,Interval_from_last_tx_days,Last_future,genesis,First in,genesis_to_first_in,genesis_to_first_in_days
28,0x5f0cc098cfef729a0c1072268945d1a5fd57b45d,3,250000.04827800003,,1,2,250000.1,0.05,2022-06-29 13:41:00,2022-06-29 15:16:00,2022-06-29 14:01:00,2022-06-29 14:01:00,42,0.20573284186619734,1,66.66666666666666,33.33333333333333,33.33333333333333,0 days 01:35:00.000000000,0 days 00:00:00.000000000,0 days 01:35:00.000000000,0 days 00:20:00.000000000,0.0,0.0,0.0,inf,inf,,2022-06-29 15:16:00,13 days 01:44:00.000000000,13.0,False,2015-07-30 00:00:00,2022-06-29 13:41:00,2526 days 13:41:00.000000000,2526.0
29,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,39,250000.01705597,,0,39,0.017055971329543722,0.0,2015-07-30 15:26:00,2022-07-04 06:51:00,,,42,0.20573281617261444,39,100.0,0.0,100.0,2530 days 15:25:00.000000000,,,,2530.0,,,6.741490644088428e-06,,,2022-07-04 06:51:00,8 days 10:09:00.000000000,8.0,False,2015-07-30 00:00:00,2015-07-30 15:26:00,0 days 15:26:00.000000000,0.0
30,0x176f3dab24a159341c0509bb36b833e7fdd0a132,121,247646.55654873,,29,92,566561.1481897705,318914.5,2021-11-26 06:27:00,2022-07-04 06:50:00,2021-11-26 06:38:00,2022-06-29 11:42:00,42,0.203796080073124,63,76.03305785123968,23.96694214876033,52.066115702479344,220 days 00:23:00.000000000,215 days 05:04:00.000000000,4 days 19:19:00.000000000,0 days 00:11:00.000000000,220.0,215.0,0.0,2575.2779463171387,1483.3232558139534,1091.9546905031852,2022-07-04 06:50:00,8 days 10:10:00.000000000,8.0,False,2015-07-30 00:00:00,2021-11-26 06:27:00,2311 days 06:27:00.000000000,2311.0
31,0x9acb5ce4878144a74eeededa54c675aa59e0d3d2,7,247439.48094520002,,0,7,247439.480945206,0.0,2022-04-20 16:00:00,2022-06-16 06:13:00,,,42,0.20362567109645052,7,100.0,0.0,100.0,56 days 14:13:00.000000000,,,,56.0,,,4418.562159735821,,,2022-06-16 06:13:00,26 days 10:47:00.000000000,26.0,False,2015-07-30 00:00:00,2022-04-20 16:00:00,2456 days 16:00:00.000000000,2456.0
32,0x189b9cbd4aff470af2c0102f365fc1823d857965,1397,245807.45957569,,432,965,582854.6888398791,337045.61,2019-10-09 01:42:00,2022-07-12 09:10:00,2019-10-23 06:12:00,2022-07-12 07:19:00,42,0.20228262977846528,533,69.07659269863994,30.923407301360058,38.153185397279884,1007 days 07:28:00.000000000,993 days 01:07:00.000000000,14 days 06:21:00.000000000,14 days 04:30:00.000000000,1007.0,993.0,14.0,578.803067368301,339.42156092648537,239.3815064418156,2022-07-12 09:10:00,0 days 07:50:00.000000000,0.0,False,2015-07-30 00:00:00,2019-10-09 01:42:00,1532 days 01:42:00.000000000,1532.0
33,0x9845e1909dca337944a0272f1f9f7249833d2d19,34,235001.21828349,,1,33,235001.3193334915,0.1,2020-10-08 06:24:00,2022-07-04 06:52:00,2020-10-08 06:27:00,2020-10-08 06:27:00,42,0.19338983657202574,32,97.05882352941177,2.941176470588235,94.11764705882352,634 days 00:28:00.000000000,0 days 00:00:00.000000000,634 days 00:28:00.000000000,0 days 00:03:00.000000000,634.0,0.0,0.0,370.66454153547556,inf,-inf,2022-07-04 06:52:00,8 days 10:08:00.000000000,8.0,False,2015-07-30 00:00:00,2020-10-08 06:24:00,1897 days 06:24:00.000000000,1897.0
34,0x7b0419581eb2e34b4d3bfc1689f1bd855d364d9d,3,231927.78796174,,0,3,231927.78796174453,0.0,2022-06-23 20:16:00,2022-07-04 06:54:00,,,42,0.19086061484296332,3,100.0,0.0,100.0,10 days 10:38:00.000000000,,,,10.0,,,23192.778796174454,,,2022-07-04 06:54:00,8 days 10:06:00.000000000,8.0,False,2015-07-30 00:00:00,2022-06-23 20:16:00,2520 days 20:16:00.000000000,2520.0
35,0x78605df79524164911c144801f41e9811b7db73d,54,220473.68847312,,0,54,230473.6884731204,10000.0,2021-06-21 07:57:00,2022-06-30 04:13:00,,,42,0.18143467890797688,54,100.0,0.0,100.0,373 days 20:16:00.000000000,,,,373.0,,,617.8919262013951,,,2022-06-30 04:13:00,12 days 12:47:00.000000000,12.0,False,2015-07-30 00:00:00,2021-06-21 07:57:00,2153 days 07:57:00.000000000,2153.0
36,0x0548f59fee79f8832c299e01dca5c76f034f558e,10171,218239.89087634,,7347,2824,10411294.908800423,10191852.625054654,2020-05-26 19:20:00,2022-07-12 15:38:00,2020-05-26 20:14:00,2022-07-12 15:38:00,42,0.17959641715200955,-4523,27.765214826467403,72.23478517353259,-44.469570347065186,776 days 20:18:00.000000000,776 days 19:24:00.000000000,0 days 00:54:00.000000000,0 days 00:54:00.000000000,776.0,776.0,0.0,13416.61715051601,13133.830702390018,282.7864481259912,2022-07-12 15:38:00,0 days 01:22:00.000000000,0.0,False,2015-07-30 00:00:00,2020-05-26 19:20:00,1762 days 19:20:00.000000000,1762.0
37,0x59448fe20378357f206880c58068f095ae63d5a5,28,215368.75591044,Exchange,0,28,215368.75591044,0.0,2021-12-26 11:24:00,2021-12-26 11:26:00,,,42,0.1772336705846202,28,100.0,0.0,100.0,0 days 00:02:00.000000000,,,,0.0,,,inf,,,2021-12-26 11:26:00,198 days 05:34:00.000000000,198.0,False,2015-07-30 00:00:00,2021-12-26 11:24:00,2341 days 11:24:00.000000000,2341.0
