,Address,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Balance,Label,In_amount,Out_amount
42,D79tQ1VkKn9v2BekHShAZSq2m8XtUA8VEP,0.1848%,18/05/2021 04:32,07/07/2022 09:53,147.0,18/05/2021 12:30,08/07/2022 08:26,136.0,250000006.0,,6780000040.141212,6530000034.0
43,DFCT8ZPq6MytZU3HSvbTJevxt4MLq2Xasu,0.1678%,30/03/2021 05:36,31/12/2021 19:27,22.0,30/03/2021 10:34,30/03/2021 10:34,1.0,227000015.0,,227000024.6982901,10.0
44,D8znPD1n3F7KoV9pTBAzyUuEmKG65GG9ab,0.1664%,21/10/2015 22:16,31/12/2021 19:28,9.0,,,,225020506.0,,225020506.04121223,0.0
45,D8AGXH8zdcNnGbzBtR23UExtbCnTYS1h3n,0.1638%,07/05/2021 11:57,31/12/2021 19:28,6.0,,,,221581598.0,,221581597.64651638,0.0
46,DQFoGSJspF6M2rAHShe7tmMEtTnodFSKHW,0.1627%,06/05/2021 21:13,31/12/2021 19:28,6.0,,,,220003216.0,,220003215.90846586,0.0
47,DHSxXxD1hfXxghtk6ZGboGME5UwSdFRNHk,0.1627%,13/05/2022 14:19,20/06/2022 22:02,6.0,20/06/2022 04:49,21/06/2022 00:01,5.0,219998876.0,,219998881.06541222,5.04121222
48,DAN6kLu7xtRFkUZhPCEiCUNpJjsAZPWCRq,0.1614%,17/09/2021 10:24,31/12/2021 19:35,6.0,,,,218344741.0,,218344741.06714615,0.0
49,DHFu8WjwXzHVy9pknMrxdQpePFir2FmiuG,0.1427%,09/11/2021 19:17,12/07/2022 13:30,19264.0,,,,192988371.0,,193249056.77523345,0.0
50,D78RSZmmfSXUAgFivtg5Ld5NMChVeDyWx8,0.1406%,18/05/2021 04:30,12/07/2022 13:35,11822.0,18/05/2021 12:26,07/07/2022 09:53,9705.0,190160026.0,,7133790991.147998,6942179501.67241
51,DGJNetovmNoBZiF5YymLfcc4R8LAQeewkz,0.1376%,10/07/2022 03:52,10/07/2022 03:52,1.0,,,,186139953.0,,186139952.87889004,0.0
52,DLZxgWfMASwbqtRFtLy6rVEAjTzMcSguJe,0.1371%,29/04/2017 07:43,31/12/2021 19:35,240.0,29/04/2017 07:46,18/03/2018 15:21,223.0,185390129.0,Exchange,1527714849.0927622,1342324720.4811046
53,DL6eP9yfnmJTVewgw63V1ueDErBjYCnE3P,0.1350%,27/11/2018 03:34,31/12/2021 05:31,34.0,04/09/2019 03:55,01/06/2022 01:13,16.0,182647850.0,,480999962.1569648,298352112.51713324
54,DPtCFXLTkqSzUTHCt3JEkbh8LHCxN22EUz,0.1338%,04/01/2022 15:36,12/07/2022 13:37,13545.0,05/01/2022 11:08,12/07/2022 13:37,13079.0,180959543.0,,2854927240.108252,2673990963.1464067
55,DSS3QiBvezK8rZSS7GzDf9qyWHEdr8t2b8,0.1337%,14/04/2022 16:34,20/06/2022 22:02,9.0,,,,180780767.0,,180780766.58620268,0.0
56,DD1h9ojoyAdAGLXaqgqZP3j86AtxZs6jCn,0.1306%,16/07/2019 14:49,31/12/2021 19:35,371.0,16/07/2019 15:54,30/01/2021 09:07,361.0,176644459.0,,15538873922.70254,15362229463.231533
57,DEXZ68xXMW8VX2UGP9kbDgyduEZwacGmMc,0.1299%,04/05/2021 18:47,09/07/2022 21:22,1262.0,05/05/2021 01:45,01/07/2022 19:19,947.0,175676873.0,,1240452759.3157792,1064775886.7957792
58,DFfEX64RwVysrk65F47GoSiuc38hLvxnjX,0.1256%,05/01/2021 11:32,02/03/2022 17:51,20.0,05/01/2021 11:35,08/06/2022 23:43,6.0,169862347.0,,641788971.259465,471926624.68743277
