;Address;Bal;% of coins;First In;Last In;Ins;First Out;Last Out;Outs;B;Balance;Label
46;D8AGXH8zdcNnGbzBtR23UExtbCnTYS1h3n;221,581,598 DOGE ($13,626,903);0.1638%;07/05/2021 11:57;31/12/2021 19:28;6;;;;221,581,598;221581598;
47;DQFoGSJspF6M2rAHShe7tmMEtTnodFSKHW;220,003,216 DOGE ($13,529,835);0.1627%;06/05/2021 21:13;31/12/2021 19:28;6;;;;220,003,216;220003216;
48;DHSxXxD1hfXxghtk6ZGboGME5UwSdFRNHk;219,998,876 DOGE ($13,529,568);0.1627%;13/05/2022 14:19;20/06/2022 22:02;6;20/06/2022 04:49;21/06/2022 00:01;5;219,998,876;219998876;
;wallet: 3068456;;;;;;;;;;;
49;DAN6kLu7xtRFkUZhPCEiCUNpJjsAZPWCRq;218,344,741 DOGE ($13,427,841);0.1614%;17/09/2021 10:24;31/12/2021 19:35;6;;;;218,344,741;218344741;
50;DHFu8WjwXzHVy9pknMrxdQpePFir2FmiuG;192,988,371 DOGE ($11,868,466) +9012311 DOGE / +53735329 DOGE;0.1427%;09/11/2021 19:17;12/07/2022 13:30;19264;;;;192,988,371;192988371;
51;D78RSZmmfSXUAgFivtg5Ld5NMChVeDyWx8;190,160,026 DOGE ($11,694,528) -405333917 DOGE / -132267554 DOGE;0.1406%;18/05/2021 04:30;12/07/2022 13:35;11822;18/05/2021 12:26;07/07/2022 09:53;9705;190,160,026;190160026;
;wallet: 3372160;;;;;;;;;;;
52;DGJNetovmNoBZiF5YymLfcc4R8LAQeewkz;186,139,953 DOGE ($11,447,300) +186139953 DOGE / +186139953 DOGE;0.1376%;10/07/2022 03:52;10/07/2022 03:52;1;;;;186,139,953;186139953;
53;DLZxgWfMASwbqtRFtLy6rVEAjTzMcSguJe;185,390,129 DOGE ($11,401,187);0.1371%;29/04/2017 07:43;31/12/2021 19:35;240;29/04/2017 07:46;18/03/2018 15:21;223;185,390,129;185390129;Exchange
;wallet: Kraken;;;;;;;;;;;
