;Address;Bal;% of coins;First In;Last In;Ins;First Out;Last Out;Outs;Balance;Label
48;15pqaBHFwFEphRqmXAPbs3QRLLPB7e2uMb;16,320 BTC ($323,871,984) / +679.72 BTC;0.08548%;10/08/2021 23:29;25/06/2022 00:56;36;;;;16,320 ;
49;34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP;16,307 BTC ($323,601,624);0.08541%;22/10/2021 22:49;24/06/2022 23:55;3;;;;16,307 ;
50;1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG;15,746 BTC ($312,468,829);0.08247%;22/01/2018 18:05;23/06/2022 01:21;68;22/01/2018 23:14;22/01/2018 23:14;1;15,746 ;
51;1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn;15,000 BTC ($297,673,335);0.07857%;19/07/2019 23:30;17/06/2022 02:55;34;;;;15,000 ;
52;3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ 3-of-4;14,770 BTC ($293,111,520);0.07736%;18/07/2017 05:32;14/05/2021 15:12;119;28/07/2017 06:11;14/05/2021 15:12;118;14,770 ;Exchange
;wallet: BITMEX-coldwallet;;;;;;;;;;
53;3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8;14,510 BTC ($287,955,139);0.07600%;01/02/2019 16:46;08/03/2022 18:56;45;15/08/2020 18:55;23/03/2022 14:25;28;14,510 ;
54;1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8;14,500 BTC ($287,750,910) / -7900 BTC;0.07595%;28/09/2018 16:43;17/06/2022 02:55;78;17/03/2020 14:28;24/06/2022 17:11;56;14,500 ;
55;1KVpuCfhftkzJ67ZUegaMuaYey7qni7pPj;14,041 BTC ($278,634,330);0.07354%;01/11/2019 20:09;17/06/2022 02:55;17;02/11/2019 00:34;04/06/2022 14:59;2;14,041 ;
56;1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj;14,000 BTC ($277,828,476);0.07333%;17/01/2018 05:20;17/06/2022 02:55;52;;;;14,000 ;
57;3EKWP3ZviLXudcoAfzammYQKwaz2zJKwQW;13,938 BTC ($276,603,479) +1620 BTC / +1028 BTC;0.07301%;04/11/2020 13:58;12/07/2022 12:21;1708;04/11/2020 14:21;12/07/2022 12:21;1692;13,938 ;
58;36rPiyFi4pZmnAyYbDTABqLN3WcWP6yJXS 2-of-5;13,500 BTC ($267,915,037) / -1000 BTC;0.07071%;25/09/2018 19:16;23/06/2022 01:21;35;25/09/2018 19:16;22/06/2022 21:04;3;13,500 ;
;wallet: 87481923;;;;;;;;;;
59;bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa;13,003 BTC ($258,043,516);0.06811%;27/07/2021 15:39;17/06/2022 02:55;9;;;;13,003 ;
